id,cefr,complexity,words,language
0601,A2+,1.7897148239940848,115,cs
0602,A2+,2.9462921904865307,143,cs
0603,B1,3.13406745414612,186,cs
0604,B1,2.28948423710018,138,cs
0605,B1,2.395133356923439,197,cs
0606,B1,2.2682803266120577,164,cs
0607,B1+,2.2889724618143186,120,cs
0608,A2,1.581689430482042,120,cs
0609,A2+,2.3930630635404486,150,cs
0610,A2+,2.4632586838895607,161,cs
0611,B1,2.096242612475659,91,cs
0612,A2+,2.085116637306521,117,cs
0613,A2+,2.51849758805666,114,cs
0614,B1,2.4881565596621407,165,cs
0615,A2+,2.54920834408526,101,cs
0616,A2+,2.3944334460835166,119,cs
0617,A2+,2.480778942966573,121,cs
0618,A2+,2.688187924079684,134,cs
0619,B1,2.32637852198614,93,cs
0620,A2+,2.103554320923412,127,cs
0621,B1,1.945505578396473,135,cs
0622,A2+,2.1763575247154425,111,cs
0623,A2+,2.1656041783675173,131,cs
0624,B1,2.8310628825462567,135,cs
0625,A2+,2.430221024046745,112,cs
0626,B1,2.2131295346739783,126,cs
0627,B1,2.3927651585989445,198,cs
0628,B1,2.480006681463687,132,cs
0629,B1,2.599797575088928,132,cs
0630,A2,1.6776865367028149,101,cs
0631,B1,1.876045072297504,111,cs
0632,A2,2.032987353294549,117,cs
0633,B1,2.3509010384568936,151,cs
0634,B1+,2.599276973090634,147,cs
0635,A2+,3.067288620765334,91,cs
0636,B1,2.11254735989884,146,cs
0637,B1,2.3561798802980776,119,cs
0638,A2+,2.348238731600868,129,cs
0639,A2,2.3322203819454552,124,cs
0640,B1,2.217039242035924,136,cs
0641,A2,1.77338576000511,114,cs
0642,A2+,2.245040830880153,131,cs
0643,B1,2.313426407759679,127,cs
0644,A2+,2.399083333318359,119,cs
0645,B1,2.3029544145783727,147,cs
0714,B1,2.096838288750644,125,cs
0715,B1,3.6416653527777534,132,cs
0716,B1,2.093948659411166,123,cs
0717,A2+,2.147406672470142,105,cs
0718,A2+,2.182169894512551,123,cs
0719,B1,2.3115012529808663,133,cs
0720,A2+,1.8119018413686825,110,cs
0721,B1,2.342041133599602,121,cs
0722,B1,1.998996851842226,118,cs
0723,A2+,2.374183876247123,113,cs
0724,B1+,2.060449040602395,127,cs
